[Instruction_Cache] NUMBER SETS: 8
[Instruction_Cache] INDEX BITS: 3
[Instruction_Cache] TAG BITS: 27
[Instruction_Cache] BLOCK OFFSET BITS: 0
[Data_Cache] NUMBER SETS: 8
[Data_Cache] INDEX BITS: 3
[Data_Cache] TAG BITS: 27
[Data_Cache] BLOCK OFFSET BITS: 0
[Unified_Cache] NUMBER SETS: 128
[Unified_Cache] INDEX BITS: 7
[Unified_Cache] TAG BITS: 23
[Unified_Cache] BLOCK OFFSET BITS: 0
      Time        addr       rdata valid ready          rw        addr       rdata       wdata wstrb valid ready
       0 s 0x000000000 0x000000000     0     0           0 0x000000000 0x000000000 0x000000000  0x00     0     0
       0 s 0x000000000 0x000000000     1     0           0 0x000000000 0x000000000 0x000000000  0x00     0     0
responding ot add 000000000
     10 ns 0x000000000 0x000000000     1     0           0 0x000000000 0x000000000 0x000000000  0x00     0     0
     20 ns 0x000000000 0x000000000     1     0           0 0x000000000 0x000000000 0x000000000  0x00     0     0
     30 ns 0x000000000 0x000000000     1     0           0 0x000000000 0x000000000 0x000000000  0x00     0     0
     40 ns 0x000000000 0x000000000     1     0           0 0x000000000 0x000000000 0x000000000  0x00     0     0
     50 ns 0x000000000 0x000000000     1     0           0 0x000000000 0x000000000 0x000000000  0x00     0     0
     60 ns 0x000000000 0x000000000     1     0           0 0x000000000 0x000000000 0x000000000  0x00     0     0
     70 ns 0x000000000 0x000000000     1     0           0 0x000000000 0x000000000 0x000000000  0x00     0     0
     80 ns 0x000000000 0x000000000     1     0           0 0x000000000 0x000000000 0x000000000  0x00     0     0
     90 ns 0x000000000 0x000000000     1     0           0 0x000000000 0x000000000 0x000000000  0x00     0     0
    100 ns 0x000000000 0x000000000     1     0           0 0x000000000 0x000000000 0x000000000  0x00     0     0
    110 ns 0x000000000 0x000000000     1     0           0 0x000000000 0x000000000 0x000000000  0x00     0     0
    120 ns 0x000000000 0x000000000     1     0           0 0x000000000 0x000000000 0x000000000  0x00     0     0
    130 ns 0x000000000 0x000000000     1     0           0 0x000000000 0x000000000 0x000000000  0x00     0     0
    140 ns 0x000000000 0x000000000     1     0           0 0x000000000 0x000000000 0x000000000  0x00     0     0
    150 ns 0x000000000 0x000000000     1     0           0 0x000000000 0x000000000 0x000000000  0x00     0     0
    160 ns 0x000000000 0x000000000     1     0           0 0x000000000 0x000000000 0x000000000  0x00     0     0
    170 ns 0x000000000 0x000000000     1     0           0 0x000000000 0x000000000 0x000000000  0x00     0     0
    180 ns 0x000000000 0x000000000     1     0           0 0x000000000 0x000000000 0x000000000  0x00     0     0
    190 ns 0x000000000 0x000000000     1     0           0 0x000000000 0x000000000 0x000000000  0x00     0     0
    200 ns 0x000000000 0x000000000     1     0           0 0x000000000 0x000000000 0x000000000  0x00     0     0
    210 ns 0x000000000 0x000000000     1     0           0 0x000000000 0x000000000 0x000000000  0x00     0     0
    220 ns 0x000000000 0x000000000     1     0           0 0x000000000 0x000000000 0x000000000  0x00     0     0
    230 ns 0x000000000 0x000000000     1     0           0 0x000000000 0x000000000 0x000000000  0x00     0     0
    240 ns 0x000000000 0x000000000     1     0           0 0x000000000 0x000000000 0x000000000  0x00     0     0
    250 ns 0x000000000 0x000000000     1     0           0 0x000000000 0x000000000 0x000000000  0x00     0     0
    260 ns 0x000000000 0x000000000     1     0           0 0x000000000 0x000000000 0x000000000  0x00     0     0
