[Instruction_Cache] NUMBER SETS: 4
[Instruction_Cache] INDEX BITS: 2
[Instruction_Cache] TAG BITS: 28
[Instruction_Cache] BLOCK OFFSET BITS: 0
[Data_Cache] NUMBER SETS: 4
[Data_Cache] INDEX BITS: 2
[Data_Cache] TAG BITS: 28
[Data_Cache] BLOCK OFFSET BITS: 0
      Time        addr       rdata valid ready          rw        addr       rdata       wdata wstrb valid ready
       0 s 0x000000000 0x000000000     0     0           0 0x000000000 0x000000000 0x000000000  0x00     0     0
       0 s 0x000000000 0x000000000     1     0           0 0x000000000 0x000000000 0x000000000  0x00     0     0
     10 ns 0x000000000 0x000000000     1     0           0 0x000000000 0x000000000 0x000000000  0x00     0     0
     20 ns 0x000000000 0x000000000     1     0           0 0x000000000 0x000000000 0x000000000  0x00     0     0
     30 ns 0x000000000 0x000000000     1     0           0 0x000000000 0x000000000 0x000000000  0x00     0     0
     40 ns 0x000000000 0x000400c93     1     1           0 0x000000000 0x000000000 0x000000000  0x00     0     0
     50 ns 0x000000000 0x000400c93     0     0           0 0x000000004 0x000000000 0x000000000  0x00     0     0
     60 ns 0x000000000 0x000400c93     0     0           0 0x000000004 0x000000000 0x000000000  0x00     0     0
     70 ns 0x000000000 0x000400c93     0     0           0 0x000000004 0x000000000 0x000000000  0x00     0     0
     80 ns 0x000000000 0x000400c93     0     0           0 0x000000004 0x000000000 0x000000000  0x00     0     0
     90 ns 0x000000004 0x000400c93     1     0           0 0x000000004 0x000000000 0x000000000  0x00     0     0
    100 ns 0x000000004 0x000400c93     1     0           0 0x000000004 0x000000000 0x000000000  0x00     0     0
    110 ns 0x000000004 0x000400c93     1     0           0 0x000000004 0x000000000 0x000000000  0x00     0     0
    120 ns 0x000000004 0x000400c93     1     0           0 0x000000004 0x000000000 0x000000000  0x00     0     0
    130 ns 0x000000004 0x0001c0c13     1     1           0 0x000000004 0x000000000 0x000000000  0x00     0     0
    140 ns 0x000000004 0x0001c0c13     0     0           0 0x000000001 0x000000000 0x000000000  0x00     0     0
    150 ns 0x000000004 0x0001c0c13     0     0           0 0x000000001 0x000000000 0x000000000  0x00     0     0
    160 ns 0x000000004 0x0001c0c13     0     0           0 0x000000001 0x000000000 0x000000000  0x00     0     0
    170 ns 0x000000004 0x0001c0c13     0     0           0 0x000000001 0x000000000 0x000000000  0x00     0     0
    180 ns 0x000000008 0x0001c0c13     1     0           0 0x000000001 0x000000000 0x000000000  0x00     0     0
    190 ns 0x000000008 0x0001c0c13     1     0           0 0x000000001 0x000000000 0x000000000  0x00     0     0
    200 ns 0x000000008 0x0001c0c13     1     0           0 0x000000001 0x000000000 0x000000000  0x00     0     0
    210 ns 0x000000008 0x0001c0c13     1     0           0 0x000000001 0x000000000 0x000000000  0x00     0     0
    220 ns 0x000000008 0x0001c0c13     1     1           0 0x000000001 0x000000000 0x000000000  0x00     0     0
    230 ns 0x000000008 0x0001c0c13     0     0           0 0x000000001 0x000000000 0x000000000  0x00     0     0
    240 ns 0x000000008 0x0001c0c13     0     0           0 0x000000002 0x000000000 0x000000000  0x00     0     0
    250 ns 0x000000008 0x0001c0c13     0     0           0 0x000000002 0x000000000 0x000000000  0x00     0     0
    260 ns 0x000000008 0x0001c0c13     0     0           0 0x000000002 0x000000000 0x000000000  0x00     0     0
    270 ns 0x00000000c 0x0001c0c13     1     0           0 0x000000002 0x000000000 0x000000000  0x00     0     0
